prediction,actual,position,title,semantic_sim,semantic_diff,nli_label
He stumbles upon a hidden treasure buried beneath a centuries-old oak tree.,Uncle Rodrigo finds something significant while tending to his farm in Mexico.,0.1344,Dark_Is_the_New_Light,0.2971,0.7029,NEUTRAL
The collector's eyes narrow in frustration as he realizes he must find another way to acquire the cachildrun.,"The seller reveals that the unique item is not for sale, despite inquiries about its price.",0.14895,Dark_Is_the_New_Light,0.3819,0.6181,CONTRADICTION
The owner unveils a vibrant neon sign that promises excitement and draws the first curious patrons through the door.,A new attraction is planned to draw in customers.,0.15396,Dark_Is_the_New_Light,0.5292,0.4708,ENTAILMENT
"His dad grins, revealing plans to introduce Jorge to the strange creature that devours anything sweet and sugary.",Jorge asks his dad about the dietary needs of a new product they plan to advertise.,0.16199,Dark_Is_the_New_Light,0.6739,0.3261,NEUTRAL
"The snake lunges forward, eager to claim the prize that Alberto has offered.",Alberto captures a large mouse and releases it in front of someone or something.,0.17352,Dark_Is_the_New_Light,0.442,0.558,NEUTRAL
"The remaining cachildrun quickly scavenge the area for more food, their eyes gleaming with hunger.",A creature with large sharp teeth looms ominously.,0.18004,Dark_Is_the_New_Light,0.1901,0.8099,NEUTRAL
"The creature lunges forward, its jaws snapping dangerously close to its prey.",The group debates how to display an impressive but creepy object while Jorge relocates the kittens to a smaller cage.,0.18255,Dark_Is_the_New_Light,0.1673,0.8327,CONTRADICTION
"The group bursts into laughter as they decorate the main display with the bizarre artwork, completely transforming the space.",Alberto locks the cachildrun inside a cage.,0.21063,Dark_Is_the_New_Light,0.1331,0.8669,CONTRADICTION
"He reveals a hidden treasure map, igniting a sense of adventure in his companion.",Alberto grins with excitement as he anticipates the wealth he will gain.,0.22066,Dark_Is_the_New_Light,0.4069,0.5931,NEUTRAL
"He takes a deep breath, steeling himself for the difficult conversation ahead.",He clings to the hope that this moment will redeem him.,0.22467,Dark_Is_the_New_Light,0.4728,0.5272,NEUTRAL
"Suddenly, the door swings open, revealing the unexpected ally he had longed for.",He faces the imminent possibility of permanently closing his pet shop.,0.23019,Dark_Is_the_New_Light,0.1348,0.8652,CONTRADICTION
"As he nervously paces in his dimly lit garage, the sound of sirens blares in the distance, signaling that his gamble has put him in grave danger.","Rodrigo smuggles a valuable item into the United States, knowing it is his final opportunity for success.",0.24624,Dark_Is_the_New_Light,0.2744,0.7256,NEUTRAL
A group of friends gathers at the park to celebrate with a surprise picnic.,The day bursts with excitement.,0.24975,Dark_Is_the_New_Light,0.2148,0.7852,NEUTRAL
"The store owner grins as he watches the customers eagerly gather around the cachildrun cage, anticipating their amazed reactions.",Customers are instantly drawn to the cachildrun cage upon entering the store.,0.25627,Dark_Is_the_New_Light,0.6705,0.3295,NEUTRAL
"The shimmering object glows brighter as each person reaches out, drawn by its mysterious allure.",Everyone eagerly clamors for the chance to hold the prized object.,0.26078,Dark_Is_the_New_Light,0.5293,0.4707,NEUTRAL
"At closing time, his dad proudly reveals that he secured a big order from a regular customer, ensuring their shop's success for the week.",His dad engages in conversation with every customer who enters the store.,0.27232,Dark_Is_the_New_Light,0.5348,0.4652,NEUTRAL
"The employees begin to clock out, eager to leave the long day behind them.",Jorge feeds the animals and adds a few mice to the children's cage.,0.27733,Dark_Is_the_New_Light,0.0574,0.9426,CONTRADICTION
"The creature, now sated, turns its hungry gaze toward the next room, searching for more prey.",A creature swiftly hunts down and consumes each mouse in one gulp.,0.29238,Dark_Is_the_New_Light,0.4766,0.5234,NEUTRAL
"The creature lifts its head, eyes glinting with a predatory gleam as it locks its gaze on him.",He remarks on the creature's gluttony after it finishes eating.,0.2984,Dark_Is_the_New_Light,0.4747,0.5253,NEUTRAL
"Alberto extends his hand, offering a truce in the heated argument that has divided them.",Alberto approaches another person.,0.3009,Dark_Is_the_New_Light,0.5579,0.4421,ENTAILMENT
The speaker's eyes shine with anticipation as they reveal they're expecting a baby.,Someone eagerly announces that they have thrilling news to share.,0.30341,Dark_Is_the_New_Light,0.5579,0.4421,ENTAILMENT
The excitement in the room grows as everyone begins to discuss how they will prepare for their moment on screen.,Excitement fills the room as the group learns they will appear on the nightly news tomorrow.,0.31244,Dark_Is_the_New_Light,0.6291,0.3709,NEUTRAL
The shop owner eagerly begins planning a grand reopening event to attract the crowd.,A plan is proposed to attract more customers.,0.31545,Dark_Is_the_New_Light,0.5039,0.4961,ENTAILMENT
"The person carefully checks the alarm panel, ensuring each setting is properly activated before leaving the house.",The person ensures that the security alarm is activated.,0.31896,Dark_Is_the_New_Light,0.7914,0.2086,ENTAILMENT
"The cachildrun quietly tiptoe out of their hiding place, determined to guard their treasure at all costs.","The cachildrun wake up suddenly at night, anxious about their treasure being stolen.",0.33049,Dark_Is_the_New_Light,0.7074,0.2926,NEUTRAL
"The creature lets out a series of soft chirps, stirring the puppies from their slumber.","A creature rises on its hind legs, resembling a meerkat, as it observes the sleeping puppies.",0.33801,Dark_Is_the_New_Light,0.6388,0.3612,NEUTRAL
"The creature emerges from the cage, its eyes scanning the room for its next target.",The creature deftly ascends the wire cage and carefully removes the top to escape.,0.34604,Dark_Is_the_New_Light,0.6704,0.3296,NEUTRAL
"The creature sniffs around the cages, searching for the source of the soft whimpers coming from within.",Something silently leaps to the floor and moves toward the back room filled with puppy cages.,0.35757,Dark_Is_the_New_Light,0.5843,0.4157,CONTRADICTION
"The puppy yelps in pain, thrashing underneath the creature as it desperately tries to shake it off.","A creature escapes its cage, leaps onto a puppy's back, and viciously bites into its flesh.",0.37663,Dark_Is_the_New_Light,0.6008,0.3992,NEUTRAL
"The hungry puppy finally turns to its siblings, playfully growling as it invites them to join in the meal.",Jorge arrives at the pet shop to start his day by feeding the animals.,0.38315,Dark_Is_the_New_Light,0.3673,0.6327,NEUTRAL
"As Jorge approaches the birdcages, he notices a new, colorful parrot loudly squawking for attention.",The cachildrun smiles and purrs warmly at him.,0.39368,Dark_Is_the_New_Light,0.3766,0.6234,CONTRADICTION
"The cachildrun leap towards him, eager for attention and affection.",Jorge greets someone while placing a couple of mice into his pet's cage.,0.4002,Dark_Is_the_New_Light,0.3468,0.6532,NEUTRAL
"The cat pounces on the empty space, confused by the sudden disappearance of its prey.",The mice vanish in an instant.,0.41073,Dark_Is_the_New_Light,0.4181,0.5819,NEUTRAL
"He rushes outside to search for the escaped puppy, calling its name anxiously.",He discovers a pool of blood at the bottom of the cage.,0.42126,Dark_Is_the_New_Light,0.3791,0.6209,NEUTRAL
"Suddenly, a loud rustling in the bushes draws his attention, making him question what truly lurked in the shadows.",He searches for a trace of blood but finds nothing in the surroundings.,0.43631,Dark_Is_the_New_Light,0.3498,0.6502,NEUTRAL
"The reporter approaches the counter, eager to ask about the mysterious incident that just occurred in the town.",His dad enters the shop with a reporter and a cameraman in tow.,0.45236,Dark_Is_the_New_Light,0.4065,0.5935,NEUTRAL
"He breathes a sigh of relief as he hears footsteps approaching, hiding the bloody towel behind his back.","He hurriedly mops up a pool of blood, anxious not to be discovered.",0.46038,Dark_Is_the_New_Light,0.7258,0.2742,CONTRADICTION
"The reporter gasps in awe as the vibrant, exotic bird flutters its wings, filling the room with a burst of color and sound.",Alberto's friends enter his store as fake customers to improve its appearance for an upcoming newscast.,0.46841,Dark_Is_the_New_Light,0.1953,0.8047,NEUTRAL
"The crowd gathers around the cachildrun, eagerly taking turns to hold them and shower them with affection.",The cachildrun delight in being lifted and caressed by those around them.,0.48395,Dark_Is_the_New_Light,0.7255,0.2745,NEUTRAL
"The creature suddenly lunges forward, revealing its sharp teeth as it prepares to feast on the unsuspecting group.",The creature appears amicable but has a surprisingly large appetite that catches them off guard.,0.48997,Dark_Is_the_New_Light,0.6108,0.3892,NEUTRAL
"Excitedly, he runs to the butcher, eager to select the perfect roast for dinner.",He receives money from his dad to purchase a roast from the neighbor.,0.50652,Dark_Is_the_New_Light,0.5073,0.4927,NEUTRAL
"The cachildrun eagerly feast on the roast, their eyes gleaming with delight as they savor the unexpected treat.","The animal rejects the roast, raising its nose in defiance.",0.51404,Dark_Is_the_New_Light,0.2862,0.7138,CONTRADICTION
"The dog turns and trots away, clearly unimpressed and determined to find something more appealing.",The creature prefers to have its meals served fresh and still moving.,0.52106,Dark_Is_the_New_Light,0.3099,0.6901,NEUTRAL
The researcher decides to use a live specimen to observe the creature's feeding behavior up close.,A sense of excitement fills the air as the team celebrates the profits they've earned from today's customers.,0.52407,Dark_Is_the_New_Light,0.0799,0.9201,CONTRADICTION
"The manager counts the bills excitedly, planning an extravagant celebration for the staff.",The team anticipates a surge in customers following tonight's news broadcast.,0.52959,Dark_Is_the_New_Light,0.4683,0.5317,NEUTRAL
"The team celebrates their success, knowing their hard work has finally paid off.","The father coldly insists on sacrificing a puppy daily to feed their snakes, dismissing his child's moral concern.",0.53561,Dark_Is_the_New_Light,-0.1439,1.1439,CONTRADICTION
"She gives him a knowing look, realizing that they both understand the weight of his words.","Alberto questions the cruelty of a situation, prompting reflection.",0.55115,Dark_Is_the_New_Light,0.2826,0.7174,NEUTRAL
"The old, dusty painting remains untouched in the corner, waiting for someone to uncover its hidden beauty.",No one expresses interest in the unwanted object.,0.5672,Dark_Is_the_New_Light,0.2468,0.7532,CONTRADICTION
"Frustrated, the team decides to pivot their strategy and brainstorm new ideas to attract customers.",They realize their efforts are yielding no financial gain.,0.57071,Dark_Is_the_New_Light,0.2659,0.7341,NEUTRAL
"The speaker turns to the kitchen, grabbing the leftover food with a teasing grin before calling for the children to come eat.",Jorge arrives early the next morning to clean up the remnants of the puppy.,0.57472,Dark_Is_the_New_Light,0.2651,0.7349,CONTRADICTION
"As Jorge arrives, he discovers that the puppy has mysteriously vanished, leaving only a trace of fur behind.",The sleeping child seems to have grown larger in the night.,0.58275,Dark_Is_the_New_Light,0.1961,0.8039,NEUTRAL
"As the moonlight creeps into the room, the cachildrun suddenly awakens, its eyes glowing with an otherworldly brightness.",He removes the blood from the cage while the creature inside remains asleep.,0.58877,Dark_Is_the_New_Light,0.3899,0.6101,CONTRADICTION
"As he finishes, the creature stirs, awakening to glimmering eyes and a low growl.",He feeds all the animals during his morning routine.,0.59428,Dark_Is_the_New_Light,0.3161,0.6839,NEUTRAL
"Worried, he kneels down to investigate, discovering that the puppies are too scared to move from their corner.",The puppies remain distant and do not approach him while he fills their bowls.,0.60481,Dark_Is_the_New_Light,0.52,0.48,NEUTRAL
"He reaches into the cage, and they instinctively flinch back, but one brave soul takes a tentative step forward.",The speaker vehemently denies any involvement in the situation at hand.,0.61133,Dark_Is_the_New_Light,-0.0095,1.0095,CONTRADICTION
"The voice grows louder, demanding answers as tension fills the air.",Jorge confidently claims that his father is responsible for the death of a puppy.,0.61484,Dark_Is_the_New_Light,0.173,0.827,CONTRADICTION
"The group exchanges shocked glances, unsure of how to react to Jorge's startling confession.",His dad enters the shop carrying a dachshund.,0.61886,Dark_Is_the_New_Light,0.0011,0.9989,CONTRADICTION
"He beams with excitement as his dad introduces the adorable puppy, declaring it the newest member of their family.",The children wake suddenly and watch the dog with curiosity.,0.62738,Dark_Is_the_New_Light,0.386,0.614,NEUTRAL
"A figure steps forward, revealing a frightened child clutching a tattered backpack.",A person discovers someone lost and wandering the streets early in the morning.,0.63591,Dark_Is_the_New_Light,0.2825,0.7175,NEUTRAL
"His friends burst into laughter, and one of them challenges him to actually make the bizarre creation for the school fair.",Alberto jokes about putting someone in a bun to make the children eat it.,0.64443,Dark_Is_the_New_Light,0.3649,0.6351,NEUTRAL
"The predator prowls closer, its eyes locked onto the unsuspecting kitten hiding behind the trash can.",A creature captures stray animals to sustain itself.,0.64744,Dark_Is_the_New_Light,0.3515,0.6485,NEUTRAL
"He smirks and says, “I just focus on what I’ll save for us tomorrow.”",The father nonchalantly responds to his child's disbelief about his questionable financial decision.,0.65747,Dark_Is_the_New_Light,0.2569,0.7431,NEUTRAL
"As Alberto waves at the cachildrun, it unexpectedly responds with a vibrant glow, revealing its true power and potential.",A person promises a reward for good behavior and financial success while expressing a hope to never encounter a devilish figure.,0.66901,Dark_Is_the_New_Light,0.1676,0.8324,NEUTRAL
"Jorge storms out of the room, determination etched on his face as he prepares to confront the dog's owner about the mistreatment.","Jorge snatches the dachshund from him, foreseeing consequences for his actions.",0.69157,Dark_Is_the_New_Light,0.6796,0.3204,NEUTRAL
"The cage rattles as the creature inside stirs, sensing the presence of its new companion.",He deposits the item into one of the cages.,0.69559,Dark_Is_the_New_Light,0.6275,0.3725,NEUTRAL
"A group of enthusiastic customers floods the store, each eyeing the unique items on display with excitement.",Everyone rushes to witness the cachildrun after being captivated by the newscast.,0.70311,Dark_Is_the_New_Light,0.3914,0.6086,NEUTRAL
"The small town becomes a frenzy of tourists and media, all hoping to catch a glimpse of the cachildrun's unique abilities.","Jorge wanders all day, trying to sell the kittens he carries with him.",0.70913,Dark_Is_the_New_Light,0.074,0.926,CONTRADICTION
"As customers eagerly gather around, he unveils a new litter of playful puppies, ready to charm even more buyers.","Using a clever sales pitch, he successfully sells several kittens to customers charmed by their cuteness.",0.72919,Dark_Is_the_New_Light,0.6444,0.3556,CONTRADICTION
"His father proudly announces the opening of the family’s first successful bakery, filling the room with excitement.",His father beams with joy as he stands behind the cash register.,0.73671,Dark_Is_the_New_Light,0.6084,0.3916,NEUTRAL
The barn is filled with laughter and excitement as the vendors celebrate their unexpected success.,Their sales reach an unprecedented high as they sell a record number of animals in a single day.,0.74223,Dark_Is_the_New_Light,0.4638,0.5362,NEUTRAL
"Heartbroken, the cachildrun decide to band together and come up with a plan to rescue the dachshund from its new owner.",The cachildrun stare in disappointment as Alberto sells the dachshund to a blonde teenage girl.,0.75125,Dark_Is_the_New_Light,0.4508,0.5492,NEUTRAL
"As the bell above the shop door jingles, Jorge decides to follow the dachshund into the bustling street, intrigued by where it might lead him.",Jorge watches with a smile as the dachshund leaves the shop.,0.75727,Dark_Is_the_New_Light,0.6528,0.3472,NEUTRAL
"With a newfound sense of freedom, it ventures out into the world to discover its purpose.",It realizes that it has been granted a second chance at life.,0.75978,Dark_Is_the_New_Light,0.5714,0.4286,NEUTRAL
"He locks the cage, knowing he must find a new home for the puppy by morning.","After closing time, Alberto puts a puppy in the children's cage.",0.76881,Dark_Is_the_New_Light,0.5772,0.4228,NEUTRAL
The cachildrun finishes its meal and starts to play joyfully in the sunlight.,The cachildrun eagerly devours its meal within moments.,0.77282,Dark_Is_the_New_Light,0.6665,0.3335,CONTRADICTION
The cachildrun begin to display strange abilities that hint at their extraordinary origins.,The cachildrun grow larger as the weeks progress.,0.77834,Dark_Is_the_New_Light,0.589,0.411,NEUTRAL
"The son, horrified by the revelation, resolves to save the dogs from their grim fate and confront his father about the truth.",His father secretly buys dogs destined for euthanasia to use as food.,0.8004,Dark_Is_the_New_Light,0.4964,0.5036,NEUTRAL
"Excited and nervous, he invites his friends over to watch the commercial's premiere, hoping for their support and laughter over the cringe-worthy moments.",Customers eagerly spend money on animals at the thriving business.,0.80993,Dark_Is_the_New_Light,0.2219,0.7781,NEUTRAL
"As the sounds of sirens grow louder outside, Jorge decides to barricade the doors and prepare for a long night.",Jorge worries about the increasing difficulty of keeping the children in the shop.,0.82297,Dark_Is_the_New_Light,0.3974,0.6026,NEUTRAL
"The creature lunges toward the observer, its eyes gleaming with a predatory hunger.","Driven by greed, his father ignores all rational arguments.",0.832,Dark_Is_the_New_Light,0.137,0.863,NEUTRAL
"As Jorge speaks, the small creature suddenly bursts from behind the shelves, leaving chaos in its wake.",Jorge argues that keeping the increasingly large animal in a store is dangerous and suggests it should be moved to a zoo.,0.85807,Dark_Is_the_New_Light,0.4304,0.5696,NEUTRAL
"He devises a plan to regulate its feeding schedule and monitor its growth closely, but soon realizes the creature is far more clever than he anticipated.",Alberto reassures someone by confidently stating that it appears content.,0.86961,Dark_Is_the_New_Light,0.231,0.769,CONTRADICTION
"The child nods eagerly, determined to plan a surprise celebration for their parents.",A character reminds someone about the upcoming anniversary of their parents' wedding.,0.87864,Dark_Is_the_New_Light,0.5676,0.4324,NEUTRAL
"As the door swings shut behind his partner, Jorge takes a deep breath and prepares for the unexpected rush of customers.",Jorge acknowledges that he must manage the shop alone.,0.88465,Dark_Is_the_New_Light,0.256,0.744,CONTRADICTION
"As Jorge enters the barn, he discovers that one of the stalls has been left open and a thrashing sound is coming from inside.",Jorge arrives the next morning to begin his feeding routine before the closure.,0.89117,Dark_Is_the_New_Light,0.4204,0.5796,NEUTRAL
"Realizing the danger, he spins around, heart racing, as the sound of laughter echoes down the hallway.","He desperately cries out, but there is only silence in return.",0.9012,Dark_Is_the_New_Light,0.3626,0.6374,CONTRADICTION
"A sudden rustle from the bushes reveals the lost item, shining under the moonlight.","Frantically searching, he finds that the animal is completely missing from its cage.",0.90572,Dark_Is_the_New_Light,0.3091,0.6909,CONTRADICTION
"He turns to the forest beyond the cages, sensing that the animal has fled into the dense underbrush.",The cachildrun observe him closely from their perch on a shelving unit above.,0.91274,Dark_Is_the_New_Light,0.262,0.738,NEUTRAL
"The creature lunges forward with fierce precision, ready to strike its unsuspecting target.","It observes its prey with intense focus, poised like a lion ready to strike.",0.92628,Dark_Is_the_New_Light,0.6653,0.3347,NEUTRAL
"Jorge screams in agony as the creature drags him into the shadows, leaving only a trail of blood behind.","A swift, deadly force attacks Jorge, tearing into his flesh before he can defend himself.",0.9343,Dark_Is_the_New_Light,0.7491,0.2509,NEUTRAL
"Jorge scrambles to his feet, grabbing a chew toy as a makeshift weapon against the aggressive creature.","As Jorge pushes the creature away, it lunges at him, causing him to fall into a display of chew toys.",0.94383,Dark_Is_the_New_Light,0.8058,0.1942,CONTRADICTION
"Desperate and in pain, Jorge fights to free himself from the door's grasp as it tightens its grip.",Jorge struggles to crawl to the front door while an unseen force grips him tightly from behind.,0.95436,Dark_Is_the_New_Light,0.8119,0.1881,CONTRADICTION
"The room falls silent as the last breath escapes Jorge's lips, leaving only a haunting stillness in the air.",Jorge bleeds out as his life slips away amidst the gruesome violence.,0.96439,Dark_Is_the_New_Light,0.4997,0.5003,NEUTRAL
"It turns the doorknob slowly, preparing to step outside into the night.","After satisfying its hunger, it approaches the front door.",0.97693,Dark_Is_the_New_Light,0.6155,0.3845,NEUTRAL
"The stray dog sprints across the street, eager to explore the shelter of the trees and settle into its new territory.",A dense cluster of trees across the street promises a fresh new home.,0.99298,Dark_Is_the_New_Light,0.4771,0.5229,ENTAILMENT
"The creature vanishes into the dense foliage, leaving only an eerie silence behind.",A figure ambles across the highway and into the cover of the trees.,0.99749,Dark_Is_the_New_Light,0.3228,0.6772,NEUTRAL
"The creature emerges from the shadows, preying on unsuspecting victims drawn by the scent of its newfound nourishment.",A creature discovers humans as its new source of nourishment.,1.0,Dark_Is_the_New_Light,0.6462,0.3538,NEUTRAL
